time_s,freq_baseline_hz,freq_agc_hz
15.49258209701617,49.84172215722619,49.943030535953234
15.502583763960661,49.84172214505101,49.94310895643838
15.512585430905151,49.84172213275808,49.943187351498956
15.522587097849643,49.84172212035583,49.94326572115231
15.532588764794133,49.84172210785257,49.94334406541543
15.542590431738624,49.84172209525642,49.94342238430501
15.552592098683114,49.84172208257541,49.94350067783742
15.562593765627605,49.841722069817365,49.943578946028715
15.572595432572095,49.84172205698999,49.943657188894655
15.582597099516587,49.84172204410082,49.94373540645071
15.592598766461077,49.84172203115727,49.94381359871206
15.602600433405568,49.841722018166585,49.94389176569359
15.61260210035006,49.84172200513587,49.94396990740995
15.62260376729455,49.84172199207207,49.94404802387548
15.632605434239041,49.84172197898199,49.94412611510429
15.64260710118353,49.841721965872296,49.94420418111024
15.652608768128022,49.84172195274949,49.9442822219069
15.662610435072512,49.84172193961994,49.94436023750766
15.672612102017004,49.84172192648986,49.94443822792565
15.682613768961494,49.841721913365326,49.94451619317377
15.692615435905985,49.84172190025226,49.94459413326471
15.702617102850475,49.84172188715645,49.94467204821093
15.712618769794966,49.84172187408355,49.94474993802472
15.722620436739458,49.84172186103903,49.94482780271814
15.732622103683948,49.84172184802826,49.94490564230305
15.74262377062844,49.841721835056454,49.94498345679115
15.752625437572929,49.8417218221287,49.94506124619394
15.76262710451742,49.84172180924992,49.94513901052275
15.77262877146191,49.84172179642491,49.94521674978875
15.782630438406402,49.84172178365836,49.94529446400291
15.792632105350892,49.84172177095478,49.94537215317611
15.802633772295383,49.841721758318556,49.94544981731902
15.812635439239873,49.84172174575397,49.94552745644218
15.822637106184365,49.84172173326514,49.945605070556006
15.832638773128856,49.84172172085605,49.94568265967076
15.842640440073346,49.84172170853059,49.94576022379659
15.852642107017838,49.8417216962925,49.945837762943505
15.862643773962327,49.84172168414539,49.94591527712142
15.872645440906819,49.84172167209274,49.945992766340126
15.882647107851309,49.841721660137914,49.946070230609294
15.8926487747958,49.84172164828417,49.94614766993851
15.90265044174029,49.841721636534615,49.946225084337264
15.912652108684782,49.84172162489225,49.946302473814946
15.922653775629271,49.841721613359965,49.946379838380864
15.932655442573763,49.84172160194052,49.94645717804424
15.942657109518253,49.84172159063656,49.94653449281422
15.952658776462744,49.841721579450635,49.9466117826999
15.962660443407236,49.84172156838515,49.946689047710265
15.972662110351726,49.841721557442426,49.946766287854274
15.982663777296217,49.84172154662467,49.94684350314081
15.992665444240707,49.84172153593397,49.94692069357872
16.002667111185197,49.84172152537232,49.94699785917677
16.01266877812969,49.841721514941604,49.947074999943716
16.02267044507418,49.8417215046436,49.947152115888244
16.03267211201867,49.84172149447999,49.94722920701903
16.04267377896316,49.84172148445235,49.947306273344694
16.052675445907653,49.84172147456217,49.94738331487383
16.062677112852143,49.84172146481083,49.94746033161503
16.072678779796632,49.841721455199625,49.94753732357683
16.082680446741126,49.84172144572974,49.94761429076778
16.092682113685616,49.841721436402295,49.9476912331964
16.102683780630105,49.84172142721829,49.94776815087119
16.112685447574595,49.841721418178665,49.94784504380066
16.12268711451909,49.841721409284254,49.94792191199332
16.132688781463578,49.84172140053581,49.947998755457654
16.142690448408068,49.84172139193401,49.94807557420218
16.152692115352558,49.84172138347944,49.94815236823539
16.16269378229705,49.841721375172604,49.94822913756582
16.17269544924154,49.84172136701394,49.948305882201986
16.18269711618603,49.8417213590038,49.94838260215244
16.192698783130524,49.84172135114246,49.94845929742574
16.202700450075014,49.84172134343012,49.948535968030484
16.212702117019504,49.84172133586693,49.948612613975264
16.222703783963993,49.841721328452934,49.94868923526871
16.232705450908487,49.84172132118813,49.94876583191949
16.242707117852976,49.841721314072444,49.94884240393629
16.252708784797466,49.84172130710574,49.94891895132784
16.262710451741956,49.84172130028781,49.9489954741029
16.27271211868645,49.84172129361839,49.94907197227026
16.28271378563094,49.841721287097144,49.94914844583876
16.29271545257543,49.841721280723704,49.94922489481728
16.302717119519922,49.84172127449761,49.94930131921475
16.312718786464412,49.84172126841836,49.94937771904012
16.322720453408902,49.84172126248541,49.949454094302425
16.33272212035339,49.841721256698136,49.94953044501072
16.342723787297885,49.841721251055894,49.94960677117413
16.352725454242375,49.841721245557956,49.949683072801825
16.362727121186865,49.841721240203576,49.94975934990302
16.372728788131354,49.84172123499195,49.94983560248701
16.382730455075848,49.8417212299222,49.949911830563124
16.392732122020337,49.841721224993464,49.94998803414076
16.402733788964827,49.841721220204775,49.950064213229375
16.41273545590932,49.84172121555516,49.95014036783849
16.42273712285381,49.841721211043605,49.95021649797769
16.4327387897983,49.841721206669035,49.950292603656614
16.44274045674279,49.841721202430364,49.95036868488498
16.452742123687283,49.84172119832645,49.95044474167256
16.462743790631773,49.841721194356126,49.95052077402921
16.472745457576263,49.84172119051819,49.950596781964826
16.482747124520753,49.84172118681142,49.950672765489394
16.492748791465246,49.84172118323453,49.95074872461298
16.502750458409736,49.84172117978625,49.95082465934569
16.512752125354226,49.84172117646523,49.950900569697716
16.522753792298715,49.841721173270145,49.95097645567933
16.53275545924321,49.8417211701996,49.95105231730087
16.5427571261877,49.8417211672522,49.95112815457274
16.55275879313219,49.84172116442654,49.95120396750543
16.56276046007668,49.84172116172116,49.95127975610949
16.57276212702117,49.841721159134586,49.951355520395566
16.58276379396566,49.84172115666535,49.951431260374356
16.59276546091015,49.84172115431193,49.95150697605664
16.602767127854644,49.84172115207281,49.95158266745328
16.612768794799134,49.84172114994646,49.951658334575214
16.622770461743624,49.84172114793131,49.951733977433435
16.632772128688114,49.841721146025805,49.951809596039034
16.642773795632607,49.84172114422835,49.95188519040318
16.652775462577097,49.84172114253736,49.95196076053711
16.662777129521587,49.84172114095122,49.95203630645212
16.67277879646608,49.841721139468326,49.95211182815962
16.68278046341057,49.84172113808704,49.95218732567106
16.69278213035506,49.84172113680573,49.952262798997985
16.70278379729955,49.84172113562276,49.95233824815202
16.712785464244043,49.841721134536485,49.95241367314483
16.722787131188532,49.841721133545235,49.95248907398822
16.732788798133022,49.84172113264736,49.952564450694005
16.742790465077512,49.84172113184119,49.95263980327411
16.752792132022005,49.84172113112507,49.952715131740526
16.762793798966495,49.841721130497326,49.952790436105325
16.772795465910985,49.84172112995629,49.95286571638064
16.782797132855478,49.841721129500286,49.95294097257869
16.792798799799968,49.841721129127635,49.953016204711744
16.802800466744458,49.84172112883669,49.95309141279219
16.812802133688947,49.84172112862576,49.95316659683244
16.82280380063344,49.84172112849318,49.95324175684499
16.83280546757793,49.84172112843729,49.95331689284243
16.84280713452242,49.84172112845645,49.9533920048374
16.85280880146691,49.84172112854897,49.95346709284261
16.862810468411404,49.84172112871321,49.95354215687083
16.872812135355893,49.84172112894753,49.95361719693494
16.882813802300383,49.841721129250296,49.953692213047844
16.892815469244876,49.841721129619856,49.95376720522253
16.902817136189366,49.841721130054594,49.953842173472054
16.912818803133856,49.8417211305529,49.95391711780953
16.922820470078346,49.84172113111314,49.95399203824816
16.93282213702284,49.84172113173374,49.95406693480117
16.94282380396733,49.8417211324131,49.95414180748189
16.95282547091182,49.841721133149626,49.95421665630369
16.96282713785631,49.84172113394176,49.95429148128001
16.972828804800802,49.84172113478794,49.95436628242436
16.98283047174529,49.841721135686605,49.95444105975028
16.99283213868978,49.84172113663624,49.95451581327141
17.002833805634275,49.84172113763529,49.95459054300142
17.012835472578764,49.84172113868227,49.95466524895405
17.022837139523254,49.841721139775665,49.954739931143095
17.032838806467744,49.84172114091399,49.954814589582405
17.042840473412237,49.84172114209577,49.954889224285886
17.052842140356727,49.84172114331955,49.9549638352675
17.062843807301217,49.841721144583886,49.955038422541264
17.072845474245707,49.84172114588734,49.95511298612124
17.0828471411902,49.84172114722851,49.955187526021554
17.09284880813469,49.84172114860599,49.95526204225638
17.10285047507918,49.84172115001839,49.955336534839915
17.112852142023673,49.84172115146435,49.95541100378646
17.122853808968163,49.841721152942505,49.95548544911031
17.132855475912653,49.84172115445153,49.95555987082584
17.142857142857142,49.8417211559901,49.955634268947456
17.152858809801636,49.84172115755691,49.955708643489615
17.162860476746125,49.84172115915069,49.95578299446682
17.172862143690615,49.84172116077014,49.95585732189362
17.182863810635105,49.84172116241404,49.95593162578459
17.1928654775796,49.84172116408113,49.95600590615435
17.202867144524088,49.84172116577021,49.95608016301759
17.212868811468578,49.84172116748007,49.95615439638901
17.222870478413068,49.84172116920953,49.95622860628335
17.23287214535756,49.841721170957435,49.95630279271539
17.24287381230205,49.84172117272262,49.956376955699966
17.25287547924654,49.84172117450398,49.95645109525192
17.262877146191034,49.841721176300396,49.95652521138614
17.272878813135524,49.841721178110774,49.95659930411757
17.282880480080014,49.84172117993405,49.95667337346114
17.292882147024503,49.84172118176915,49.95674741943187
17.302883813968997,49.841721183615064,49.95682144204475
17.312885480913486,49.84172118547076,49.95689544131484
17.322887147857976,49.841721187335246,49.95696941725723
17.332888814802466,49.84172118920754,49.957043369887
17.34289048174696,49.84172119108668,49.95711729921932
17.35289214869145,49.84172119297171,49.95719120526931
17.36289381563594,49.84172119486173,49.95726508805219
17.372895482580432,49.84172119675582,49.957338947583146
17.382897149524922,49.84172119865309,49.957412783877416
17.392898816469412,49.84172120055268,49.95748659695027
17.4029004834139,49.84172120245374,49.95756038681696
17.412902150358395,49.84172120435543,49.9576341534928
17.422903817302885,49.84172120625694,49.9577078969931
17.432905484247375,49.84172120815748,49.9577816173332
17.442907151191864,49.841721210056264,49.95785531452845
17.452908818136358,49.841721211952546,49.95792898859423
17.462910485080847,49.841721213845574,49.95800263954592
17.472912152025337,49.84172121573463,49.95807626739893
17.48291381896983,49.84172121761901,49.95814987216866
17.49291548591432,49.84172121949803,49.958223453870566
17.50291715285881,49.84172122137101,49.95829701252008
17.5129188198033,49.841721223237315,49.958370548132656
17.522920486747793,49.84172122509629,49.95844406072377
17.532922153692283,49.84172122694734,49.9585175503089
17.542923820636773,49.84172122878986,49.958591016903526
17.552925487581263,49.84172123062326,49.95866446052315
17.562927154525756,49.84172123244698,49.95873788118328
17.572928821470246,49.841721234260476,49.95881127889943
17.582930488414735,49.8417212360632,49.95888465368712
17.59293215535923,49.841721237854664,49.95895800556187
17.60293382230372,49.841721239634346,49.95903133453922
17.61293548924821,49.84172124140178,49.95910464063469
17.622937156192698,49.841721243156485,49.959177923863834
17.63293882313719,49.841721244898025,49.95925118424219
17.64294049008168,49.84172124662596,49.9593244217853
17.65294215702617,49.841721248339866,49.95939763650872
17.66294382397066,49.84172125003935,49.95947082842799
17.672945490915154,49.84172125172402,49.959543997558654
17.682947157859644,49.8417212533935,49.95961714391627
17.692948824804134,49.84172125504744,49.95969026751638
17.702950491748627,49.84172125668548,49.959763368374524
17.712952158693117,49.84172125830732,49.95983644650626
17.722953825637607,49.84172125991262,49.95990950192711
17.732955492582096,49.84172126150109,49.959982534652625
17.74295715952659,49.84172126307244,49.960055544698335
17.75295882647108,49.841721264626415,49.960128532079764
17.76296049341557,49.841721266162736,49.960201496812445
17.77296216036006,49.841721267681166,49.960274438911895
17.782963827304552,49.84172126918147,49.96034735839362
17.792965494249042,49.841721270663434,49.96042025527313
17.802967161193532,49.841721272126854,49.96049312956592
17.812968828138025,49.84172127357153,49.96056598128748
17.822970495082515,49.84172127499728,49.960638810453304
17.832972162027005,49.84172127640395,49.96071161707885
17.842973828971495,49.841721277791365,49.960784401179595
17.852975495915988,49.84172127915939,49.96085716277099
17.862977162860478,49.84172128050789,49.96092990186848
17.872978829804968,49.84172128183674,49.961002618487505
17.882980496749457,49.84172128314584,49.96107531264348
17.89298216369395,49.841721284435074,49.961147984351825
17.90298383063844,49.841721285704374,49.96122063362793
17.91298549758293,49.841721286953636,49.9612932604872
